Training_Size_Fraction,Training_Size,R2_Score,R2_Error,RMSD,RMSD_Error,MAPE_scores,MAPE_errors
0.0625%,35,-0.04652235378831939,0.07938580697919692,0.390282892596361,0.014126880874552205,10.109568921022818,1.6844478926292352
0.125%,69,-0.09940287260535899,0.10475949208547576,0.3998967871275965,0.018197124219730146,10.828415000621378,1.527799064569395
0.25%,138,-0.0863857334237841,0.07143411769014833,0.39774697501745593,0.012927773920890123,10.95475342489043,1.2582087718712969
0.5%,276,0.01739313604181656,0.03590183113957367,0.3784154436428363,0.006975280296182179,10.543494552394046,0.3683651760961272
1.0%,553,0.08122160699098856,0.03339143913221328,0.36570480957371065,0.00678715359766506,10.586177160051783,0.1862236297344251
2.0%,1106,0.1535081728716524,0.0387177724229576,0.35129271229283326,0.00811224563268714,10.064684651927196,0.2584367403278548
3.0%,1659,0.21330116329726473,0.0140992993122583,0.3388084601316382,0.003261979226728154,9.623685206569302,0.12345741960012621
4.0%,2212,0.25027827894287624,0.01693114022783414,0.33046245035498745,0.004094868700309516,9.397439968236403,0.14801667078353153
5.0%,2765,0.2808371332863782,0.009977823764553419,0.32358554787005317,0.002505311696438841,9.2440585954464,0.06983311631034068
10.0%,5530,0.34355461580419966,0.015157451285605356,0.30924557759861526,0.0041890353006231165,8.850486204232912,0.06673027510154764
30.0%,16589,0.4187476544910954,0.005733292572742988,0.2909241653694794,0.0015856107821948186,8.448344002836365,0.03616665792675545
70.0%,38707,0.4489638454862108,0.006511422341031364,0.2842536120880288,0.0015617181389959082,8.332384381031227,0.04827375872637276
90.0%,49766,0.4488658133879008,0.021522026034071218,0.28276709268606137,0.00368873388429749,8.318781092878368,0.06095369540324586
